Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25700,The Theory of Moral Sentiments,Adam Smith,"Smith, Adam",,"=""0486452913""","=""9780486452913""",0,4.06,Dover Publications,Paperback,368,2006,1759,,2022/04/09,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
25245393,Super Freakonomics,Steven D. Levitt,"Levitt, Steven D.",Stephen J Dubner,"=""0062312871""","=""9780062312877""",0,3.99,HARPER COLLINS USA,Paperback,247,,2009,,2022/04/09,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
40275288,The Priory of the Orange Tree,Samantha Shannon,"Shannon, Samantha",,"=""""","=""""",4,4.23,Bloomsbury Publishing,Kindle Edition,848,2019,2019,2022/03/29,2021/08/17,,,read,,,,1,,,1,,,unspecified,,
38459780,"The Books of Earthsea (Earthsea Cycle, #1-6)",Ursula K. Le Guin,"Guin, Ursula K. Le",Charles Vess,"=""1481465589""","=""9781481465588""",0,4.48,Saga Press,Hardcover,1008,2018,2018,,2022/03/26,to-read,to-read (#21),to-read,,,,0,,,1,,,unspecified,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.92,Harper,Paperback,212,2016,2016,,2021/12/18,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",0,4.25,Viking Books,Hardcover,307,2021,2021,,2021/11/25,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
54895704,Remember: The Science of Memory and the Art of Forgetting,Lisa Genova,"Genova, Lisa",,"=""0593137957""","=""9780593137956""",0,4.21,Harmony,Hardcover,256,2021,2021,,2021/11/25,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",0,4.62,Tor Books,Hardcover,1230,2020,2020,,2021/11/18,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217857""","=""9781473217850""",0,4.50,Gollancz,Hardcover,513,2018,2018,,2021/11/18,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.41,Tor,Kindle Edition,448,2016,2016,,2021/11/18,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
